Feed_ID,0_in,1_in,2_in,3_in,0_out,1_out,2_out,3_out, Start_Time,End_Time,Start_Date,End_Date
0,0,3,0,0,0,0,0,0,13:43,13:43,2022/06/02,2022/06/02
1,0,3,0,0,0,0,0,0,13:43,13:43,2022/06/02,2022/06/02
0,1,1,0,1,1,0,0,1,13:43,13:43,2022/06/02,2022/06/02
1,1,1,0,1,1,0,0,1,13:43,13:43,2022/06/02,2022/06/02
